Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (in),qc,Total Precip (in),qc,Avg Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Avg Max Air Temp (F),qc,Avg Min Air Temp (F),qc,Avg Air Temp (F),qc,Avg Max Rel Hum (%),qc,Avg Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Avg Dew Point (F),qc,Avg Wind Speed (mph),qc,Avg Soil Temp (F),qc
104,De Laveaga,Monterey Bay,Nov 2022,2.09, ,2.74, ,276, ,8.1, ,63.8, ,40.2, ,50.3, ,86, ,41, ,66, ,38.4, ,3.2, ,54.9, 
104,De Laveaga,Monterey Bay,Dec 2022,1.12, ,18.43, ,166, ,10.3,K,57.9, ,41.3, ,48.7, ,97, ,68, ,87,K,44.8,K,2.9,K,50.8, 
105,Westlands,San Joaquin Valley,Jan 2022,1.84, ,0.06, ,227, ,8.8, ,66.0,K,32.4, ,46.5, ,99, ,51, ,81, ,40.7, ,3.4, ,49.5, 
105,Westlands,San Joaquin Valley,Feb 2022,3.22, ,0.04, ,347, ,5.5,K,68.7,K,32.1,K,50.0, ,70, ,25, ,44,K,28.9,K,4.7,K,52.0, 
105,Westlands,San Joaquin Valley,Mar 2022,4.94,K,0.42,K,419,K,7.5,K,74.4,K,41.3, ,58.2,K,71,K,27,K,45,K,35.8,K,5.9,K,61.3,K
105,Westlands,San Joaquin Valley,Apr 2022,6.73, ,0.23, ,510, ,7.5,K,78.4,K,45.7,K,62.3,K,68, ,22, ,39,K,36.3,K,7.2,K,68.0,K
105,Westlands,San Joaquin Valley,May 2022,9.42, ,0.00, ,620,K,7.5,K,86.7, ,51.7,K,70.1,K,52, ,16, ,30,K,36.2,K,8.2,K,77.1,K
105,Westlands,San Joaquin Valley,Jun 2022,9.78, ,0.00, ,615,K,9.0,K,96.9, ,60.4, ,79.6, ,47, ,15, ,27,K,41.2,K,7.6,K,86.7,K
105,Westlands,San Joaquin Valley,Jul 2022,9.59,K,0.00, ,624,K,11.2,K,100.5, ,65.5,K,83.3, ,52, ,17, ,29,K,47.0,K,6.4,K,93.3,K
105,Westlands,San Joaquin Valley,Aug 2022,9.23, ,0.00, ,621,K,11.7,K,101.5,K,65.8,L,83.8,K,54, ,17, ,31,L,48.6,L,6.1, ,93.2,K
105,Westlands,San Joaquin Valley,Sep 2022,7.07,K,0.24,K,513,K,11.2,K,95.9,K,63.4,K,79.3,K,56,K,21,K,35,K,47.2,K,5.8,K,87.5,K
105,Westlands,San Joaquin Valley,Oct 2022,5.11,K,0.00,K,424,K,9.0,K,85.8, ,51.0,K,67.9,K,60,K,23,K,39,L,40.9,L,4.8,K,77.1,K
105,Westlands,San Joaquin Valley,Nov 2022,2.35, ,0.00, ,282, ,7.0, ,64.8, ,33.7,K,48.1, ,83, ,37, ,61, ,34.9, ,3.9, ,56.2, 
105,Westlands,San Joaquin Valley,Dec 2022,0.89,K,1.83,K,147,K,9.7,K,53.4,K,39.1,K,45.8,K,99,K,76,K,91,K,43.3,K,4.9,K,49.8,K
106,Sanel Valley,North Coast Valleys,Jan 2022,1.61,K,0.61,K,211, ,8.2, ,65.4, ,33.1, ,45.7, ,95, ,47, ,77, ,38.8, ,2.7, ,48.1, 
106,Sanel Valley,North Coast Valleys,Feb 2022,2.51, ,0.12, ,321, ,7.0, ,70.8,K,29.4,K,46.7, ,93, ,30, ,64, ,35.2, ,3.0, ,49.2, 
106,Sanel Valley,North Coast Valleys,Mar 2022,3.92, ,0.73, ,405, ,8.7, ,70.6,K,36.2, ,52.1,K,93, ,38, ,65,K,40.5,K,3.8,K,54.2, 
106,Sanel Valley,North Coast Valleys,Apr 2022,4.55, ,2.58, ,471, ,8.9, ,68.8,K,37.2, ,52.8,K,92, ,43, ,66,K,41.2,K,4.3, ,57.6, 
106,Sanel Valley,North Coast Valleys,May 2022,6.43, ,0.22, ,582, ,10.0,K,76.7,K,41.4,K,59.7,K,90, ,35, ,58,K,44.1,K,4.9,K,61.8, 
106,Sanel Valley,North Coast Valleys,Jun 2022,7.49, ,0.36, ,635, ,11.9,K,87.6,K,47.5, ,68.1, ,87, ,29, ,51,K,48.8,K,4.5, ,69.9, 
106,Sanel Valley,North Coast Valleys,Jul 2022,7.89, ,0.00, ,628, ,13.6,K,94.1, ,51.6,K,72.0, ,86, ,28, ,51,K,52.6,K,4.0, ,77.0, 
106,Sanel Valley,North Coast Valleys,Aug 2022,7.14, ,0.00, ,565, ,14.0, ,95.9,K,52.2,K,72.6,K,88, ,26, ,51,K,53.3,K,3.9,K,79.0, 
106,Sanel Valley,North Coast Valleys,Sep 2022,5.15,K,1.56, ,439, ,12.4, ,91.6,K,50.1,K,68.8,K,87,K,27,K,55,L,50.3,L,3.4, ,74.9,K
106,Sanel Valley,North Coast Valleys,Oct 2022,3.78, ,0.01,K,362,K,10.9, ,83.8, ,42.1, ,60.2, ,93, ,29, ,60, ,46.2, ,3.1,K,66.9,K
106,Sanel Valley,North Coast Valleys,Nov 2022,1.67, ,2.43, ,226, ,7.6, ,64.7, ,30.8, ,44.6, ,95, ,41, ,74, ,36.8, ,2.8, ,54.1, 
106,Sanel Valley,North Coast Valleys,Dec 2022,0.81, ,8.47, ,129, ,9.1,K,56.5, ,35.9, ,44.3, ,97, ,66, ,89,K,41.2,K,2.8, ,49.6, 
107,Santa Barbara,Central Coast Valleys,Jan 2022,1.89, ,0.06, ,223, ,11.4,K,77.5,L,49.6,K,59.9,K,86,K,40,K,65,K,47.1,K,2.0, ,53.7, 
107,Santa Barbara,Central Coast Valleys,Feb 2022,3.19,K,0.02, ,382,K,9.3, ,75.9,L,47.7, ,61.4,K,75,K,30,K,54,L,42.1,L,2.7, ,55.8, 
107,Santa Barbara,Central Coast Valleys,Mar 2022,4.46,K,1.24,K,464,K,12.7,K,76.6,L,50.6,K,63.2,K,90,K,43,K,68,L,50.5,L,3.1,K,60.3, 
107,Santa Barbara,Central Coast Valleys,Apr 2022,5.46,K,0.19,K,583,K,14.6,K,79.8,L,53.9,L,65.1,L,93,K,45,K,70,L,53.6,L,3.2, ,65.2, 
107,Santa Barbara,Central Coast Valleys,May 2022,5.77,K,0.08, ,609,K,15.2,K,77.3,L,55.7,K,64.3,K,95,K,54,K,75,K,55.3,K,3.2, ,69.1, 
107,Santa Barbara,Central Coast Valleys,Jun 2022,6.38,K,0.31, ,672,K,19.6,K,81.4,L,60.7,K,69.0,K,98,K,59,K,81,L,61.6,L,3.1, ,75.3,K
107,Santa Barbara,Central Coast Valleys,Jul 2022,6.28,K,0.46,K,657,K,19.5,K,78.0,K,60.7, ,67.7,K,99,K,63,K,84,K,62.7,K,2.5,K,77.0, 
107,Santa Barbara,Central Coast Valleys,Aug 2022,6.14,K,0.29, ,609, ,21.0,K,87.3,L,61.5,K,71.1,K,100,K,57,K,81,K,64.9,K,2.3,K,78.1,K
107,Santa Barbara,Central Coast Valleys,Sep 2022,4.81,K,0.58,K,479, ,22.2,K,89.0,L,65.6,K,75.1,L,95,K,48,K,74,L,64.3,L,2.3, ,76.9,K
107,Santa Barbara,Central Coast Valleys,Oct 2022,3.52,K,0.39, ,337, ,4.8,L,75.3,L,56.6,L,64.3,L,39,K,16,K,62,L,47.5,L,1.9, ,71.0,L
107,Santa Barbara,Central Coast Valleys,Nov 2022,2.14,K,1.35, ,269, ,8.1, ,68.2, ,44.3, ,55.0, ,77, ,36, ,55, ,38.1, ,1.8,K,59.7, 
107,Santa Barbara,Central Coast Valleys,Dec 2022,1.16,K,5.85, ,174, ,10.6,K,62.8,K,45.6, ,53.3,K,90, ,57, ,76,K,45.6,K,1.6, ,54.8, 
113,King City-Oasis Rd.,Monterey Bay,Jan 2022,1.97, ,0.07, ,248, ,8.5, ,65.3, ,36.0, ,48.0, ,94, ,43, ,74, ,39.8, ,3.3, ,51.7, 
113,King City-Oasis Rd.,Monterey Bay,Feb 2022,3.18, ,0.07,K,366, ,6.6,K,70.5,K,31.7,K,49.0,K,89, ,25, ,55,K,33.3,K,4.4, ,51.5, 
113,King City-Oasis Rd.,Monterey Bay,Mar 2022,4.70, ,0.78, ,446, ,8.6,K,72.0, ,38.4,K,53.2,K,92, ,34, ,63,L,39.9,L,6.0,K,56.2, 
113,King City-Oasis Rd.,Monterey Bay,Apr 2022,6.22,K,0.22, ,569, ,9.0, ,75.3,K,40.3, ,55.9,K,91,K,30,K,61,L,41.5,L,7.2,K,62.0, 
113,King City-Oasis Rd.,Monterey Bay,May 2022,8.02,K,0.78, ,656, ,9.7,K,80.4,K,42.8,K,59.7, ,91, ,28, ,55,K,43.3,K,8.0,K,66.5, 
113,King City-Oasis Rd.,Monterey Bay,Jun 2022,8.83,K,0.12,K,704, ,11.6,K,89.2,K,48.2, ,67.2,K,88,K,25,K,51,K,48.0,K,7.2, ,73.5, 
113,King City-Oasis Rd.,Monterey Bay,Jul 2022,7.88, ,0.09,K,650, ,13.7, ,86.8, ,52.0, ,65.6, ,94, ,34, ,64, ,52.8, ,6.2,K,76.0, 
113,King City-Oasis Rd.,Monterey Bay,Aug 2022,7.10,K,0.65,K,588, ,14.5, ,89.1, ,52.9,K,66.7, ,94, ,34, ,65, ,54.4, ,5.4, ,75.7, 
113,King City-Oasis Rd.,Monterey Bay,Sep 2022,5.98,K,0.07, ,483, ,13.5, ,89.9,K,53.1,K,68.2,K,89, ,30, ,60,L,52.7,L,5.4,K,74.9, 
113,King City-Oasis Rd.,Monterey Bay,Oct 2022,4.01, ,0.04, ,368, ,11.4, ,80.3, ,44.3, ,58.6,K,94, ,34, ,67,K,47.3,K,4.3, ,69.0, 
113,King City-Oasis Rd.,Monterey Bay,Nov 2022,2.40, ,1.02, ,280, ,7.4, ,66.6, ,33.7, ,48.0,K,92, ,36, ,65,K,36.3,K,3.9,K,56.9, 
113,King City-Oasis Rd.,Monterey Bay,Dec 2022,1.30,K,3.46, ,176, ,9.7,K,59.6, ,37.9, ,47.4, ,97, ,62, ,85,K,43.2,K,4.4,K,51.5, 
114,Arroyo Seco,Monterey Bay,Jan 2022,2.14, ,0.04, ,262,K,9.5, ,68.0, ,39.8, ,51.5, ,95, ,42, ,73, ,42.9, ,3.8, ,50.9, 
114,Arroyo Seco,Monterey Bay,Feb 2022,3.26,K,0.06, ,380,K,7.7,K,72.1,K,37.1,K,52.5,K,88, ,28, ,57,K,37.3,K,4.7, ,51.7, 
114,Arroyo Seco,Monterey Bay,Mar 2022,4.66, ,0.84, ,458,K,10.2,K,71.6,K,42.4,K,54.7,L,92, ,42, ,69,L,44.3,L,6.5, ,55.4, 
114,Arroyo Seco,Monterey Bay,Apr 2022,6.07,K,0.06, ,585,K,10.7, ,74.8,K,44.1,K,57.5,L,90,K,39,K,66,L,45.9,L,6.9,K,59.1, 
114,Arroyo Seco,Monterey Bay,May 2022,7.85,K,0.00, ,701,K,12.4,K,79.7,L,47.0, ,61.8,K,93,K,40,K,65,L,49.6,L,8.3,K,62.9,K
114,Arroyo Seco,Monterey Bay,Jun 2022,8.20,K,0.00, ,714,K,14.2,K,84.4,K,51.1, ,66.3,K,94,K,39,K,66,L,53.2,L,7.7, ,67.4, 
114,Arroyo Seco,Monterey Bay,Jul 2022,7.33, ,0.00, ,673,K,15.8,K,80.3, ,55.1,K,64.4, ,97, ,52, ,76,K,56.8,K,7.6, ,68.5, 
114,Arroyo Seco,Monterey Bay,Aug 2022,6.80,K,0.00, ,606,K,17.7,K,85.3,K,56.0,K,67.2,K,98,K,50,K,78,K,60.0,K,6.7, ,68.6, 
114,Arroyo Seco,Monterey Bay,Sep 2022,5.65,K,0.02, ,507,K,16.6,K,88.4,K,55.5,K,68.4,L,95,K,42,K,73,L,58.3,L,5.7,K,68.0, 
114,Arroyo Seco,Monterey Bay,Oct 2022,3.87, ,0.00, ,376,K,13.5, ,79.6,K,47.7, ,59.9,K,96, ,45, ,76,K,51.8,K,4.8, ,63.7, 
114,Arroyo Seco,Monterey Bay,Nov 2022,2.50, ,1.14,K,295,K,8.5, ,71.7,K,36.8, ,50.8, ,93, ,38, ,67, ,39.9, ,3.8, ,53.0, 
114,Arroyo Seco,Monterey Bay,Dec 2022,1.35, ,3.61,K,179, ,11.1,K,64.0, ,41.0,K,50.4,K,100, ,63, ,88,K,46.8,K,4.2, ,50.4,K
116,Salinas North,Monterey Bay,Jan 2022,,N,0.03,K,258,K,11.1, ,68.7,L,44.4, ,54.1,K,97,K,50,K,78,K,47.0,K,5.5, ,52.4, 
116,Salinas North,Monterey Bay,Feb 2022,,N,0.56,K,374,K,11.0, ,76.9,L,43.9,K,58.0,K,92,K,38,K,70,L,45.9,L,6.4, ,53.4, 
116,Salinas North,Monterey Bay,Mar 2022,,N,1.59,K,434,K,10.9,K,65.3,L,43.5, ,53.2,K,94,K,59,K,79,K,46.6,K,6.5, ,55.1, 
116,Salinas North,Monterey Bay,Apr 2022,,N,1.43,K,577,K,10.4, ,63.1,L,43.3, ,52.8,L,91,K,58,K,77,L,45.5,L,7.2,K,58.3, 
116,Salinas North,Monterey Bay,May 2022,,N,0.00, ,662,K,11.2,K,64.0,K,45.3,K,54.0, ,93, ,61, ,78,K,47.3,K,7.3,K,63.7, 
116,Salinas North,Monterey Bay,Jun 2022,,N,0.12, ,679,K,13.5,K,67.6,K,49.6, ,58.0,K,95,K,67,K,82,K,52.5,K,6.0, ,70.0,K
116,Salinas North,Monterey Bay,Jul 2022,,N,0.05,K,574, ,14.9, ,65.3, ,53.7,K,58.5, ,97, ,78, ,89, ,55.1, ,5.7, ,71.4, 
116,Salinas North,Monterey Bay,Aug 2022,,N,0.07,K,540, ,15.7, ,69.0,K,54.6, ,60.6, ,97, ,72, ,87, ,56.6, ,5.6,K,73.1,K
116,Salinas North,Monterey Bay,Sep 2022,,N,0.28, ,477,K,15.5, ,74.2,K,54.2, ,62.6,K,95,K,61,K,80,K,56.4,K,6.4,K,71.5,K
116,Salinas North,Monterey Bay,Oct 2022,,N,0.09, ,308, ,13.1, ,67.8,K,49.2, ,56.8,K,96, ,63, ,83,K,51.5,K,5.0,K,66.4, 
116,Salinas North,Monterey Bay,Nov 2022,,N,1.99, ,284, ,8.8, ,63.8, ,40.2, ,49.9,K,91, ,46, ,72,K,40.9,K,5.6,K,55.7, 
116,Salinas North,Monterey Bay,Dec 2022,,N,7.58, ,173, ,10.4,K,58.8, ,42.0,K,49.3, ,96, ,67, ,86,K,45.2,K,6.1,K,51.3, 
117,Victorville,San Bernardino,Jan 2022,2.40, ,0.00, ,298,K,4.3, ,61.6, ,31.3, ,46.1, ,69, ,20, ,40, ,22.2, ,3.5, ,43.1, 
117,Victorville,San Bernardino,Feb 2022,3.32, ,0.51, ,426,K,3.6, ,63.3, ,31.3,K,47.3, ,61, ,16, ,33, ,17.6, ,5.0,K,42.7,K
117,Victorville,San Bernardino,Mar 2022,5.59,K,0.15,K,528,K,5.0,K,70.9,K,40.3,K,55.9,K,62, ,16, ,34,K,25.7,K,6.2, ,48.5, 
117,Victorville,San Bernardino,Apr 2022,7.15, ,0.16, ,668,K,6.2, ,76.4,K,45.2, ,61.1, ,65, ,17, ,34, ,30.8, ,6.5, ,55.8, 
117,Victorville,San Bernardino,May 2022,8.80, ,0.00, ,744,K,6.9,K,82.7, ,51.1, ,67.6, ,59, ,15, ,31,K,34.3,K,6.6, ,59.6,K
117,Victorville,San Bernardino,Jun 2022,9.50, ,0.02, ,752,K,8.5,K,92.8, ,60.9,K,78.1, ,51, ,13, ,26,K,39.3,K,6.4, ,64.9,K
117,Victorville,San Bernardino,Jul 2022,9.97, ,0.02, ,705,K,10.5,K,97.3, ,67.0, ,82.6, ,48, ,16, ,28,K,44.8,K,6.4, ,68.8, 
117,Victorville,San Bernardino,Aug 2022,8.64, ,0.20, ,630,K,12.3,K,98.5,K,68.3, ,83.6,K,51, ,20, ,32,K,49.6,K,5.0, ,69.3, 
117,Victorville,San Bernardino,Sep 2022,6.29,K,0.30,L,527,L,12.1,L,87.5,L,60.3,L,74.2,L,71,L,23,L,41,L,48.0,L,5.0,L,67.8,L
117,Victorville,San Bernardino,Oct 2022,4.56, ,0.28, ,421,K,8.5,K,81.7, ,50.9, ,66.3, ,66, ,20, ,37,K,38.7,K,3.8,K,63.6, 
117,Victorville,San Bernardino,Nov 2022,2.63, ,0.90, ,313, ,5.0, ,62.7, ,33.5, ,47.3, ,74, ,23, ,44, ,25.3, ,4.6,K,50.2,K
117,Victorville,San Bernardino,Dec 2022,1.94,K,0.49, ,244, ,6.1, ,58.7, ,33.9, ,45.2, ,82, ,37, ,58, ,31.2, ,4.9,K,45.8, 
124,Panoche,San Joaquin Valley,Jan 2022,1.79, ,0.02, ,244, ,8.9, ,61.2, ,35.8, ,47.5, ,96, ,56, ,79, ,41.2, ,2.8, ,51.0, 
124,Panoche,San Joaquin Valley,Feb 2022,3.06, ,0.00, ,358, ,6.7,K,67.1,K,35.0,K,50.6, ,77, ,31, ,52,K,33.6,K,4.2,K,51.6, 
124,Panoche,San Joaquin Valley,Mar 2022,4.48,K,0.72, ,438,K,8.9,K,74.1,K,42.8, ,57.9,K,80, ,34, ,54,K,40.7,K,4.4,K,57.9, 
124,Panoche,San Joaquin Valley,Apr 2022,6.21,K,0.37, ,566, ,9.1, ,76.8,K,45.4, ,61.6,K,79, ,29, ,49,L,41.4,L,5.3, ,63.6, 
124,Panoche,San Joaquin Valley,May 2022,8.86, ,0.00, ,681,K,9.0, ,86.1,K,50.5,K,69.4,K,66, ,21, ,37,K,41.3,K,6.3,K,69.7, 
124,Panoche,San Joaquin Valley,Jun 2022,9.25, ,0.13, ,683, ,11.4,K,96.6,K,57.8,K,78.1, ,65, ,19, ,35,K,47.4,K,5.7, ,77.0, 
124,Panoche,San Joaquin Valley,Jul 2022,9.34, ,0.00, ,677, ,13.9, ,99.4,K,62.0, ,80.3, ,71, ,22, ,40, ,53.1, ,5.6,K,80.2, 
124,Panoche,San Joaquin Valley,Aug 2022,7.91, ,0.01, ,603,K,15.2, ,99.0,K,62.3,K,79.8,K,74, ,25, ,44,K,55.7,K,4.5, ,78.7,K
124,Panoche,San Joaquin Valley,Sep 2022,6.04,K,0.02, ,483, ,13.9, ,94.0,L,60.7,K,77.0,K,70,K,27,K,46,L,53.1,L,3.8, ,74.8, 
124,Panoche,San Joaquin Valley,Oct 2022,4.57, ,0.00, ,391, ,11.1, ,85.0,K,50.7,K,66.9,K,73, ,28, ,48,K,46.5,K,3.9,K,67.6, 
124,Panoche,San Joaquin Valley,Nov 2022,2.14, ,0.80, ,268, ,7.9, ,64.6, ,35.1,K,48.5, ,90, ,42, ,67, ,38.0, ,3.1, ,55.0, 
124,Panoche,San Joaquin Valley,Dec 2022,0.78, ,2.89, ,134, ,9.6,K,54.1,K,38.7, ,45.7, ,99, ,75, ,91,K,43.2,K,3.0, ,50.9, 
125,Arvin-Edison,San Joaquin Valley,Jan 2022,2.07,K,0.04,K,265,K,9.0,K,61.9, ,36.4, ,48.3, ,97, ,51, ,79,K,41.2,K,3.3,K,51.7, 
125,Arvin-Edison,San Joaquin Valley,Feb 2022,2.94,K,0.38, ,381,K,6.8, ,67.2,K,33.4,K,50.2,K,87, ,29, ,56,K,34.4,K,3.5, ,52.3, 
125,Arvin-Edison,San Joaquin Valley,Mar 2022,4.72, ,1.41, ,460,K,9.2,K,72.8,K,42.5,K,58.0, ,90, ,32, ,56,K,41.8,K,4.0,K,58.4, 
125,Arvin-Edison,San Joaquin Valley,Apr 2022,6.72, ,0.36, ,618,K,8.9,K,76.6,K,47.5,K,63.0,K,76, ,27, ,45,K,41.0,K,4.6,K,65.5, 
125,Arvin-Edison,San Joaquin Valley,May 2022,8.58, ,0.00, ,702,K,9.2,K,82.6, ,53.2,K,69.6,K,60, ,24, ,37,K,41.7,K,4.9,K,71.1, 
125,Arvin-Edison,San Joaquin Valley,Jun 2022,9.42, ,0.02, ,721,K,11.3, ,92.9,K,62.6,K,79.6, ,54, ,20, ,33, ,47.2, ,4.6,K,77.1, 
125,Arvin-Edison,San Joaquin Valley,Jul 2022,9.88, ,0.00, ,707,K,12.3,K,99.2,K,68.8,K,85.3, ,48, ,19, ,30,K,49.7,K,3.9, ,79.8, 
125,Arvin-Edison,San Joaquin Valley,Aug 2022,9.31, ,0.00, ,631,K,13.4, ,99.9,K,70.0,L,86.1,K,50, ,21, ,32,K,51.9,K,3.6, ,81.6, 
125,Arvin-Edison,San Joaquin Valley,Sep 2022,6.81,K,0.08, ,526,K,13.9,K,93.9,K,65.1,K,80.0,K,64,K,26,K,41,K,53.0,K,3.9,K,79.6, 
125,Arvin-Edison,San Joaquin Valley,Oct 2022,5.04, ,0.00, ,425,K,10.6, ,84.0, ,53.5,K,69.4,K,67, ,27, ,43,K,45.4,K,3.4,K,73.1,K
125,Arvin-Edison,San Joaquin Valley,Nov 2022,2.38, ,1.09,K,288,K,8.0, ,64.8,K,36.8, ,49.9,K,90, ,39, ,65,K,38.0,K,3.3,K,58.7, 
125,Arvin-Edison,San Joaquin Valley,Dec 2022,1.15, ,2.31,K,166, ,9.3,K,55.7,K,36.3,K,45.4,K,99, ,68, ,89,K,42.1,K,3.2,K,52.6, 
126,San Benito,Monterey Bay,Jan 2022,1.78, ,0.09,K,254, ,9.1, ,64.6, ,38.0, ,49.0, ,94, ,50, ,76, ,41.8, ,2.0, ,51.3, 
126,San Benito,Monterey Bay,Feb 2022,2.73, ,0.10, ,379,K,7.2,K,68.7,K,34.7,K,49.8, ,86, ,31, ,59,K,35.7,K,2.7, ,52.7, 
126,San Benito,Monterey Bay,Mar 2022,4.02, ,0.64, ,447,K,8.9,K,70.7,K,40.0, ,53.4,K,90, ,36, ,63,K,40.9,K,3.0, ,57.1, 
126,San Benito,Monterey Bay,Apr 2022,5.36,K,0.74, ,574,K,9.2,K,72.9,K,42.1,L,56.7,K,88,K,35,K,59,K,42.0,K,3.4, ,61.7, 
126,San Benito,Monterey Bay,May 2022,6.91,K,0.02,K,688,K,9.7,K,77.4,K,45.1,K,60.7,K,85, ,32, ,54,K,43.5,K,3.7,K,68.1, 
126,San Benito,Monterey Bay,Jun 2022,7.73,K,0.13, ,722,K,11.3,K,86.1,K,52.6,K,68.8,K,79,K,28,K,49,L,47.1,L,3.8, ,71.8, 
126,San Benito,Monterey Bay,Jul 2022,7.30, ,0.00, ,677,K,13.5,K,82.9, ,54.5, ,66.5, ,87, ,37, ,61,K,52.5,K,3.6, ,75.9, 
126,San Benito,Monterey Bay,Aug 2022,6.45,K,0.00, ,608, ,13.9, ,83.5, ,54.2,L,66.5, ,89, ,37, ,63, ,53.3, ,3.3, ,74.3, 
126,San Benito,Monterey Bay,Sep 2022,5.42,K,0.00, ,493,K,13.1,K,88.3,K,57.2,L,69.8,K,80,K,31,K,56,L,51.8,L,3.2,K,72.1, 
126,San Benito,Monterey Bay,Oct 2022,3.63, ,0.00, ,380,K,11.5, ,77.7, ,47.2,K,59.2, ,90, ,39, ,67, ,47.5, ,2.6, ,65.2, 
126,San Benito,Monterey Bay,Nov 2022,2.11, ,2.06, ,277, ,7.8, ,65.6, ,37.6, ,49.4, ,89, ,37, ,64, ,37.5, ,2.3, ,53.9,K
126,San Benito,Monterey Bay,Dec 2022,1.17, ,6.17,L,175, ,9.9,L,58.9, ,39.4, ,47.7, ,98, ,64, ,86,L,43.9,L,2.3,L,50.3, 
129,Pajaro,Monterey Bay,Jan 2022,2.03, ,0.14, ,250, ,9.5, ,64.6, ,40.7, ,51.1, ,94, ,49, ,74, ,42.7, ,2.9, ,52.4, 
129,Pajaro,Monterey Bay,Feb 2022,2.99,K,0.02, ,366,K,7.4,K,67.7,K,37.0,K,51.1,K,86, ,32, ,58,K,36.2,K,3.4, ,53.1, 
129,Pajaro,Monterey Bay,Mar 2022,3.67,K,1.80, ,432,K,10.0,K,64.2,K,41.2, ,52.0, ,94, ,51, ,75,K,44.1,K,3.5, ,55.9, 
129,Pajaro,Monterey Bay,Apr 2022,4.87,K,0.98,K,557,K,10.4,K,65.3,L,43.6, ,53.9,L,95,K,51,K,74,L,45.6,L,4.1, ,58.6, 
129,Pajaro,Monterey Bay,May 2022,5.85,K,0.00, ,649,K,11.2,K,67.3, ,45.0,K,55.6,K,94, ,52, ,74,K,47.2,K,4.1, ,63.5, 
129,Pajaro,Monterey Bay,Jun 2022,6.02,K,0.03, ,661, ,13.5,K,71.4,K,50.3, ,59.9,K,94,K,57,K,78,L,52.1,L,3.9, ,69.7, 
129,Pajaro,Monterey Bay,Jul 2022,4.66,L,0.01,K,596,K,14.6,K,70.7,K,53.3,K,60.5, ,96, ,64, ,81,K,54.7,K,4.3, ,72.5, 
129,Pajaro,Monterey Bay,Aug 2022,,N,0.04, ,549, ,15.3, ,79.0,L,52.5,K,63.2,K,98,K,55,K,78,L,56.0,L,4.3, ,73.0, 
129,Pajaro,Monterey Bay,Sep 2022,,N,1.60, ,460, ,15.7,K,83.5,L,52.1, ,64.9,K,97,K,49,K,77,L,56.6,L,3.9, ,71.5,K
129,Pajaro,Monterey Bay,Oct 2022,,N,0.09, ,315, ,13.1, ,78.2,L,46.0,K,58.2,K,99,K,50,K,79,K,51.5,K,3.2, ,65.3, 
129,Pajaro,Monterey Bay,Nov 2022,,N,3.66, ,278,K,8.9, ,76.4,K,34.6,K,50.4,K,98, ,37, ,72,K,41.0,K,3.1, ,55.9, 
129,Pajaro,Monterey Bay,Dec 2022,,N,13.62,K,171, ,10.5,K,62.0, ,40.2, ,49.5, ,98, ,64, ,86,K,45.4,K,3.4, ,51.9, 
131,Fair Oaks,Sacramento Valley,Jan 2022,1.70, ,0.15, ,226, ,8.7, ,61.9, ,37.6, ,48.1, ,97, ,50, ,76, ,40.5, ,2.4,K,47.9, 
131,Fair Oaks,Sacramento Valley,Feb 2022,2.72,K,0.00, ,339,K,7.0,K,67.0,K,37.5,K,51.2,K,84, ,30, ,54,K,34.6,K,3.0,K,50.0, 
131,Fair Oaks,Sacramento Valley,Mar 2022,3.95, ,0.02, ,421,K,8.9,K,71.1,K,42.8,K,56.5,K,89, ,32, ,57,K,40.5,K,3.1,K,56.6, 
131,Fair Oaks,Sacramento Valley,Apr 2022,5.07,K,2.18,K,514,K,8.9,K,73.3,K,46.3, ,59.4,K,86,K,28,K,52,K,40.8,K,3.7,K,62.3,K
131,Fair Oaks,Sacramento Valley,May 2022,7.17, ,0.05, ,637, ,9.2,K,81.8,K,49.7,K,66.0,K,81, ,21, ,44,L,42.2,L,4.1,K,67.5, 
131,Fair Oaks,Sacramento Valley,Jun 2022,7.91, ,0.45, ,664,K,10.9,K,91.6, ,58.0,K,75.2,K,75, ,19, ,37,K,46.3,K,3.9, ,73.9, 
131,Fair Oaks,Sacramento Valley,Jul 2022,8.16, ,0.26, ,662, ,12.2,K,94.9,K,59.3, ,76.5, ,76, ,20, ,43,L,50.5,L,4.1, ,77.9, 
131,Fair Oaks,Sacramento Valley,Aug 2022,7.27,K,0.18, ,590, ,13.0,K,96.8,K,60.3, ,77.8, ,80, ,19, ,41,L,51.6,L,3.4, ,77.6, 
131,Fair Oaks,Sacramento Valley,Sep 2022,5.42,K,1.31, ,465, ,12.5, ,92.1,K,59.3,L,75.3,K,80,K,23,K,45,L,50.2,L,3.0,K,74.3, 
131,Fair Oaks,Sacramento Valley,Oct 2022,3.87, ,0.06, ,377, ,10.8,K,83.0, ,50.7, ,65.3, ,85, ,26, ,50,K,45.6,K,2.5,K,66.3, 
131,Fair Oaks,Sacramento Valley,Nov 2022,1.79, ,2.03, ,239, ,7.7, ,63.5,K,38.4, ,49.0,K,92, ,38, ,65,K,37.6,K,2.6, ,52.1, 
